,Unnamed: 0,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Days
88,3232,1989-10-18 01:14:55.620,37.156,-121.9573,-0.4,2.04,Md,7,95.0,6.0,0.02,NC,250294.0,0.0
89,3233,1989-10-18 01:16:19.420,37.179,-121.9855,7.42,3.5,ML,50,53.0,3.0,0.06,NC,10090803.0,0.0
90,3234,1989-10-18 01:17:11.310,37.1687,-121.9943,6.27,1.75,Md,13,81.0,3.0,0.07,NC,10090805.0,0.0
91,3235,1989-10-18 01:17:25.850,37.182,-121.9862,6.99,2.53,Md,19,60.0,2.0,0.03,NC,10090804.0,0.0
92,3236,1989-10-18 01:18:35.180,36.9682,-121.7282,11.8,2.1,Md,25,75.0,3.0,0.04,NC,250295.0,0.0
93,3237,1989-10-18 01:19:10.630,37.185,-122.051,13.06,2.38,Md,29,60.0,3.0,0.08,NC,10090808.0,0.0
94,3238,1989-10-18 01:19:30.230,37.1757,-122.0238,11.01,2.85,Md,28,45.0,1.0,0.06,NC,10090809.0,0.0
95,3239,1989-10-18 01:19:47.650,36.999,-121.6603,1.92,2.67,Md,10,110.0,6.0,0.05,NC,10090817.0,0.0
96,3240,1989-10-18 01:19:59.880,37.139,-121.9165,22.17,3.11,Md,19,155.0,4.0,0.15,NC,10090810.0,0.0
97,3241,1989-10-18 01:20:45.430,37.1245,-121.9878,14.63,2.47,Md,12,71.0,6.0,0.06,NC,250296.0,0.0
98,3242,1989-10-18 01:20:59.570,37.1398,-121.9672,8.02,2.22,Md,20,60.0,5.0,0.06,NC,10090811.0,0.0
99,3243,1989-10-18 01:21:18.690,36.968,-121.7325,12.34,3.9,ML,45,74.0,4.0,0.05,NC,10090815.0,0.0
100,3244,1989-10-18 01:22:14.140,37.1438,-121.9857,4.92,2.37,Md,10,141.0,5.0,0.07,NC,250297.0,0.0
101,3245,1989-10-18 01:22:44.870,37.1017,-121.9323,9.37,3.3,ML,41,101.0,8.0,0.08,NC,10090813.0,0.0
102,3246,1989-10-18 01:23:52.780,37.1702,-121.9928,6.25,2.62,Md,25,59.0,3.0,0.06,NC,10090814.0,0.0
103,3247,1989-10-18 01:24:33.250,37.1622,-121.9965,8.37,4.01,Md,15,72.0,3.0,0.18,NC,250298.0,0.0
104,3248,1989-10-18 01:24:58.750,36.8147,-121.5323,3.81,3.6,ML,23,118.0,9.0,0.06,NC,10090318.0,0.0
105,3249,1989-10-18 01:25:34.700,37.1312,-121.9875,13.64,3.3,Md,16,68.0,5.0,0.06,NC,10090820.0,0.0
106,3250,1989-10-18 01:26:15.100,37.0785,-121.9002,12.08,2.35,Md,30,56.0,7.0,0.06,NC,10090821.0,0.0
107,3251,1989-10-18 01:26:32.740,37.0455,-121.8832,16.68,3.3,Md,29,68.0,6.0,0.04,NC,10090822.0,0.0
108,3253,1989-10-18 01:27:41.770,37.0503,-121.7887,9.73,2.11,Md,12,70.0,2.0,0.07,NC,249613.0,0.0
109,3254,1989-10-18 01:28:07.090,37.1117,-121.8468,2.42,2.39,Md,27,46.0,1.0,0.14,NC,10090823.0,0.0
110,3255,1989-10-18 01:28:24.330,36.977,-121.7115,11.23,3.22,Md,38,85.0,3.0,0.04,NC,10090824.0,0.0
111,3256,1989-10-18 01:28:55.400,37.0478,-121.8505,4.96,2.15,Mx,13,114.0,4.0,0.23,NC,10090825.0,0.0
112,3257,1989-10-18 01:29:20.380,36.9397,-121.6822,10.05,2.18,Md,15,80.0,2.0,0.04,NC,249614.0,0.0
113,3258,1989-10-18 01:29:41.960,37.0438,-121.804,4.01,2.93,Md,24,61.0,1.0,0.11,NC,10090826.0,0.0
114,3260,1989-10-18 01:30:50.770,37.1102,-121.9208,8.31,1.95,Md,32,52.0,7.0,0.12,NC,10090827.0,0.0
115,3261,1989-10-18 01:30:59.600,37.0613,-121.8992,12.15,3.2,ML,35,106.0,8.0,0.08,NC,10090828.0,0.0
116,3262,1989-10-18 01:31:51.540,37.1403,-122.0035,13.45,2.33,Md,18,70.0,4.0,0.05,NC,10090829.0,0.0
117,3264,1989-10-18 01:34:01.180,37.1385,-122.006,10.66,2.07,Md,23,71.0,4.0,0.31,NC,249659.0,0.0
118,3265,1989-10-18 01:34:46.080,37.0688,-121.927,15.44,3.0,ML,48,52.0,5.0,0.08,NC,10090319.0,0.0
119,3266,1989-10-18 01:36:12.500,37.132,-121.9678,11.15,2.78,Md,40,62.0,5.0,0.06,NC,10090320.0,0.0
120,3267,1989-10-18 01:36:48.340,37.0033,-121.71,-0.06,1.99,Md,23,87.0,10.0,0.15,NC,248525.0,0.0
121,3268,1989-10-18 01:38:24.930,37.1062,-121.8705,5.16,1.79,Md,20,61.0,3.0,0.05,NC,10090322.0,0.0
122,3269,1989-10-18 01:38:31.330,37.125,-121.8423,2.72,1.87,Md,16,122.0,2.0,0.28,NC,20092122.0,0.0
123,3270,1989-10-18 01:38:54.860,36.9872,-121.708,5.87,2.54,Md,24,87.0,4.0,0.06,NC,10090323.0,0.0
124,3272,1989-10-18 01:39:56.350,37.105,-121.8552,4.46,2.27,Md,11,87.0,2.0,0.05,NC,249695.0,0.0
125,3273,1989-10-18 01:40:35.560,37.1097,-121.877,4.58,1.67,Md,12,63.0,4.0,0.02,NC,248548.0,0.0
126,3274,1989-10-18 01:42:38.180,37.108,-121.8722,4.79,2.25,Md,20,82.0,3.0,0.09,NC,248561.0,0.0
127,3275,1989-10-18 01:42:54.700,37.1975,-122.0538,16.47,1.97,Md,9,86.0,4.0,0.03,NC,249709.0,0.0
128,3276,1989-10-18 01:43:37.700,37.1537,-121.9583,9.06,3.1,Md,45,56.0,3.0,0.06,NC,10090324.0,0.0
129,3277,1989-10-18 01:44:39.890,37.0678,-121.8862,11.56,2.01,Md,34,59.0,6.0,0.2,NC,248563.0,0.0
130,3278,1989-10-18 01:45:42.080,36.9937,-121.7572,14.71,2.03,Md,29,72.0,6.0,0.05,NC,10090363.0,0.0
131,3279,1989-10-18 01:45:57.380,37.0287,-121.7915,10.91,3.5,ML,45,63.0,3.0,0.05,NC,10090325.0,0.0
132,3281,1989-10-18 01:47:19.360,37.1648,-121.9903,8.19,1.53,Md,9,172.0,4.0,0.04,NC,249711.0,0.0
133,3282,1989-10-18 01:49:16.310,37.1628,-121.9712,7.31,2.83,Md,33,56.0,4.0,0.06,NC,248576.0,0.0
134,3283,1989-10-18 01:49:44.160,37.1185,-121.8963,0.99,1.78,Md,6,115.0,6.0,0.02,NC,248577.0,0.0
135,3284,1989-10-18 01:50:31.010,37.1417,-121.9592,10.19,3.18,Md,34,58.0,4.0,0.06,NC,10090326.0,0.0
136,3285,1989-10-18 01:51:00.480,36.975,-121.7248,12.04,3.4,ML,35,81.0,4.0,0.05,NC,10090327.0,0.0
137,3288,1989-10-18 01:52:56.420,37.1237,-122.0048,13.8,1.78,Md,15,146.0,5.0,0.1,NC,249891.0,0.0
138,3289,1989-10-18 01:53:11.280,37.1713,-121.9942,5.88,1.73,Md,14,68.0,3.0,0.03,NC,249892.0,0.0
